"tag","text"
"real","Exclusive: Aramco agrees on price
-a
-b
-c
for Sabic acquisition https://t.co/aLCnlKSLAy 

#OOTT #saudi"
"real","#Digitisation contract signed in #SaudiArabia for Two Holy Mosques 🇸🇦  | #Saudi #facman #smartcities https://t.co/ke2kyrCqVD"
"fake","The #Taliban will not attend planned peace talks with the #US in #Saudi Arabia this month, and want to shift the venue to Qatar, Taliban officials said on Sunday.  https://t.co/8bZE6qTWLg https://t.co/iSphxdhN4d"
"real","#Qatar have used #Khashoggi to write all of the articles in #WashingtonPost beside using him for other purposes against many countries and supporting terrorism groups . https://t.co/VlOaPCjpwn"
"real","#Saudi sets clear rules and regulations to protect wildlife in the Kingdom. https://t.co/UC9bnKBSQy"
"real","#Saudi ministry of justice works on developing commercial justice procedures.. https://t.co/OzPL3HSyoy"
"fake","#فتاه_تايلند\nA #Saudi woman who’s trying to flee into asylum, is being held at #Bangkok airport, after she escaped Saudi Arabia, from #Kuwait to #Thailand. #SaudiArabia is trying to kidnap her back to #KSA If no one interffers, SHE WON’T SEE LIGHT AGAIN. #Save_Rahaf @hrw"
"real","#Saudi woman detained in #Thailand seeks asylum in #Canada. She sought asylum in Canada amid doubts about the status of her Australian visa.  https://t.co/zJZZPh1gN6"
"real","Saudi Government paid SR 6million  blood money to release junaid Khan pakistani this is the reason why i love the great Royal family of Saudi Arabia @HRHMBNSALMAN you are a blessings to the world not only Saudi @HRHMBNSALMAN Saudi is yours no one can take it from you MBS for real https://t.co/R23GqEEz99"
"fake","Gunfire Heard At Saudi Royal Palace In Riyadh As Rumors Of Attempted Coup Mount https://t.co/8KD1sb3hQv"
"fake","Loujain al-Hathloul:  She Wanted to Drive, So #SaudiArabia’s Ruler Imprisoned and Tortured Her https://t.co/SoMFM8V9kP"
"real","TRENDS President Dr. @AhmedAlHamli concludes a productive meeting with the #Saudi National Center for Social Studies @NCSSKSA‘s, General Manager Prof. Sami Abdulaziz AlDamigh, earlier today in #Abu_Dhabi where mutual social development interest were discussed. https://t.co/PmaCSsePqC"
"real","Saudi Crown Prince Mohammed bin Salman plans to launch a $425 billion infrastructure plan on Monday https://t.co/KNrTOf4Zmf via @markets"
"real","Abdullah and #Khashoggi both worked for #Qatar undercover. Nonetheless, Abdullah went beyond that and he clearly supports Houthi's act in Yemen.\n#WashingtonPost https://t.co/dTUg1GzdCB"
"fake","#Saudi Analyst: Saudis Prefer to Work with #Israelis over #Palestinians https://t.co/vV3EN0Awwn"
"real","#Saudi Contractors Authority to showcase $53-billion #construction projects at #Riyadh event in 2019 🇸🇦 | @SCA2030 |  #منتدى_المشاريع_المستقبلية https://t.co/y2FaFeuKXs"
"real","King's Cup Final 2018 ceremony organized and covered by #Alamiya_media in collaboration with #Saudi General Sport Authority. https://t.co/3GWsOej3z5"
"real","ALEPPO, SYRIA King Salman Humanitarian Aid and Relief Centre (KSrelief) recently distributed winter clothing items to children in a number of schools in Mount Simeon.\n@washingtonpost @WSJ @nytimes @nytimesworld @thetimes @Independent @guardian https://t.co/vnDdHIXEJJ"
"real","#Saudi teenager who fled family and sought asylum when she arrived in #Thailand will leave Bangkok for #Canada Friday, Thai official says \n\n#MNA #MNA_English #Anglophones https://t.co/afkDTtttH4"
"fake","Really, does @MariahCarey need the dirty #Saudi money so much??? #BoycottSaudi #RememberYemeniChildren #SaveourSaudiSisters @FreeLoujain @DfromCs You can boycott Saudi Arabia and make a LOUD statement, Mariah Carey.  What will you CHOOSE? https://t.co/IJuVP2EYkB"
"fake","What #Saudi is doing of killing, Blockade, Famine,closing of Civil Airports shame in the forehead of International Socity .   https://t.co/rzzvOQ5Ejq #EndYemenSiege"
"fake","Activists are calling on Mariah Carey to cancel her upcoming performance in Saudi Arabia over the Kingdom’s alleged human rights abuses and jailing of women’s rights advocates https://t.co/EuqKVD23Xz"
"fake","The point from the onset is interventionists are using the faux concern for human rights in Venezuela — a mere talking point, to push for regime change. All while silent on US support for Saudi Arabia bombing Yemen back to the Stone Age. But no calls to stop the carnage there..."
"real","King Fahd University of Petroleum and Minerals position as #SaudiArabia's top engineering university is shown through its architecture and beauty. With one of the most beautiful campuses in the country, KFUPM is a prime destination for the best #Saudi minds! #KSA https://t.co/Q81oqjh5ZO"
"real","#Saudi Cabinet restructuring meant to upgrade the standard of services: @KingSalman — https://t.co/Z0q38GMRzN https://t.co/p2bk6JaxwG"
"real","#Saudi| Crown Prince Mohammed bin Salman inaugurates the National Industrial Development and Logistics Program https://t.co/JncN3HvxGI"
"fake","It's all about that CASH!!! Mariah Carey performs in Saudi Arabia despite calls for boycott over human rights concerns https://t.co/fnA54j7KoP"
"real","The dynamics of #US shale #oil production is spread across so many operators it is a challenge to engage and predict, but it is a reality, #Saudi Al-Falih tells #ACEnergyForum https://t.co/bH6iqiOnRU"
"real","This is the approved design for the development project of the roundabout intersecting King Salman and Prince Hammoud roads in #AlKhobar https://t.co/lKFlq9nTUp"
"fake","this is politically incorrect-but I can't help wondering what happened to our national outrage over Khashoggi's murder? are we as vacuous and fickle as the news cycle?? @davidaxelrod @DanRather @JohnWDean @DrDenaGrayson #Trump #Khashoggi #KremlinAnnex #NorthamMustResign https://t.co/1Zv2sYKcOV"
"fake","Another stunner from @IgnatiusPost. Saudi Royal Court advisor Qahtani was implicated in #Khashoggi's murder but it's business as usual behind the scenes https://t.co/tfxWGKcFcA https://t.co/9QYzkkpx6i"
"fake","Way to Go @Netflix. #Holocaust next? #SaudiArabia made @Netflix delete a comedy show that accused it of covering up Jamal #Khashoggi murder to protect its crown prince https://t.co/JCvTbecrAS via @businessinsider"
